device,generated_file,reference_file,profile_fidelity_percent,overall_similarity_percent,endpoint_precision,endpoint_recall,service_f1,protocol_f1,ace_f1
amazonecho,AmazonEcho_44650d56ccd3.mud.json,amazonEchoMud.json,66.67,53.63,0.2057,0.6667,0.8636,0.9,0.2927
augustdoorbellcam,AugustDoorBell_e076d03f00ae.mud.json,augustdoorbellcamMud.json,37.5,35.54,0.3134,0.375,0.4054,0.4138,0.2553
awairairquality,AwairAirQuality_70886b100fc6.mud.json,awairAirQualityMud.json,100.0,84.03,0.7368,1.0,0.8333,0.8571,0.8108
belkincamera,BelkinCamera_b4750eece5a9.mud.json,belkincameraMud.json,92.31,81.32,0.75,0.9231,0.8136,0.9,0.6824
wemomotion,BelkinWemoMotionSensor_ec1a59832811.mud.json,wemomotionMud.json,90.48,85.63,0.8636,0.9048,0.8846,0.9167,0.6667
wemoswitch,BelkinWemoSwitch_ec1a5979f489.mud.json,wemoswitchMud.json,43.48,42.35,0.2,0.4348,0.5937,0.75,0.2617
blipcarebpmeter,BlipCareBPMeter_746a89002e25.mud.json,blipcareBPmeterMud.json,87.5,79.74,0.7778,0.875,0.8,0.75,0.7619
canarycamera,CanaryCamera_7c70bc5d5edc.mud.json,canaryCameraMud.json,91.3,86.52,1.0,0.913,0.8,0.75,0.8214
hellobarbie,HelloBarbie_28c2ddffa52d.mud.json,hellobarbieMud.json,100.0,87.03,0.9231,1.0,0.8,0.75,0.8387
hpprinter,HPPrinter_705a0fe49bc0.mud.json,hpprinterMud.json,80.95,57.86,0.4359,0.8095,0.6216,0.8148,0.3065
ihomepowerplug,iHome_74c63b29d71d.mud.json,ihomepowerplugMud.json,83.33,74.32,0.6667,0.8333,0.8108,0.8696,0.5116
lifxbulb,LiFXBulb_d073d5018308.mud.json,lifxbulbMud.json,85.71,79.14,0.7059,0.8571,0.8667,0.875,0.6341
dropcam,NestDropCam_308cfb2fe4b2.mud.json,dropcamMud.json,77.78,54.27,0.6667,0.7778,0.4082,0.3429,0.4412
nestsmokesensor,NestProtectSmokeAlarm_18b43025bee4.mud.json,nestsmokesensorMud.json,8.91,37.12,0.2647,0.0891,0.6667,0.8421,0.1216
netatmoweatherstation,NetatmoWeatherStation_70ee5003b8ac.mud.json,NetatmoWeatherStationMud.json,75.0,68.35,0.6667,0.75,0.7273,0.6667,0.56
netatmocamera,NetatmoWelcome_70ee50183443.mud.json,NetatmoCameraMud.json,68.75,46.05,0.1164,0.6875,0.8889,0.8333,0.1578
huebulb,PhilipsHue_0017882b9a25.mud.json,HueBulbMud.json,54.29,61.7,0.5,0.5429,0.8,0.8,0.4186
pixstarphotoframe,PixStarPhotoFrame_e076d033bb85.mud.json,pixstarphotoframeMud.json,91.67,77.23,0.6875,0.9167,0.8235,0.8,0.619
ringdoorbell,RingDoorBell_884aea31669d.mud.json,ringdoorbellMud.json,75.0,66.38,0.5714,0.75,0.6486,0.8571,0.5417
samsungsmartcam,SamsungCamera_00166cab6b88.mud.json,samsungsmartcamMud.json,100.0,68.69,0.6667,1.0,0.5432,0.8333,0.4404
smartthings,SamsungSmartThings_d052a800675e.mud.json,SmartThingsMud.json,100.0,76.21,0.8,1.0,0.6667,0.6154,0.6875
tplinkcamera,TPLinkCamera_f4f26D9351f1.mud.json,tplinkcameraMud.json,90.91,76.79,0.9091,0.9091,0.6087,0.8235,0.5538
tplinkplug,TPLinkSmartPlug_50c7bf005639.mud.json,tplinkplugMud.json,79.31,83.61,0.9583,0.7931,0.8,0.8571,0.7797
tribyspeaker,TribySpeaker_18B79E022044.mud.json,tribyspeakerMud.json,66.67,73.28,0.6316,0.6667,0.8889,0.9,0.5581
withingsbabymonitor,WithingsBabyMonitor_0024e41118a8.mud.json,withingsbabymonitorMud.json,47.37,63.5,0.5,0.4737,0.9,0.8,0.4737
withingssleepsensor,WithingsSleepSensor_0024e42028c6.mud.json,withingssleepsensorMud.json,88.89,57.17,0.3333,0.8889,0.7143,0.6667,0.5
withingscardio,WithingsSmartScale_0024e41b6f96.mud.json,withingscardioMud.json,71.43,66.26,0.4545,0.7143,0.8,0.8571,0.56
